day,price_usd,daily_return,rolling_vol_7d
2024-08-15,2569.89,-0.034402299498393685,0.03401318441569426
2024-08-16,2592.73,0.008887539933615907,0.03232031028080557
2024-08-17,2614.51,0.008400411921025475,0.03244618057565146
2024-08-18,2612.15,-0.0009026547995609757,0.031080144218735603
2024-08-19,2636.36,0.009268227322320799,0.01614467199958379
2024-08-20,2572.82,-0.024101412553672485,0.017801397633410355
2024-08-21,2630.71,0.022500602451784424,0.020378262645515094
2024-08-22,2622.88,-0.002976382801601063,0.014542038721452879
2024-08-23,2762.48,0.05322393704630013,0.02406526732268423
2024-08-24,2768.0,0.0019982045118878133,0.02422824138834581
2024-08-25,2746.13,-0.00790101156069356,0.024814827240387517
2024-08-26,2680.49,-0.023902728567110954,0.02743430864553331
2024-08-27,2457.33,-0.08325343500628613,0.04219928855987335
2024-08-28,2528.33,0.028893148254406142,0.042974806920169535
2024-08-29,2527.61,-0.0002847729528976384,0.04300634772237299
2024-08-30,2526.0,-0.0006369653546235421,0.03504740620180886
2024-08-31,2513.01,-0.005142517814726744,0.034668660918674196
2024-09-01,2425.72,-0.03473523782237253,0.03546273178219478
2024-09-02,2538.01,0.04629141038537021,0.04242867059128136
2024-09-03,2425.29,-0.04441274857073074,0.032065830887711075
2024-09-04,2450.71,0.010481220802460722,0.029841714255412096
2024-09-05,2368.81,-0.03341888677158866,0.03171181481549415
2024-09-06,2225.23,-0.06061271271229007,0.0368291946300886
2024-09-07,2273.58,0.021728091028792473,0.039610664879477335
2024-09-08,2297.3,0.010432885581330043,0.03925712939201162
2024-09-09,2359.5,0.02707526226439727,0.035384381479711305
2024-09-10,2388.52,0.012299215935579477,0.03251987053475072
2024-09-11,2340.55,-0.0200835663925778,0.032660791001326184
2024-09-12,2361.76,0.009061972613274571,0.030617707604438268
2024-09-13,2439.19,0.03278487229862459,0.017234125402111028
2024-09-14,2417.79,-0.008773404285849051,0.01856124521904297
2024-09-15,2316.1,-0.04205907047344892,0.026694019764641235
2024-09-16,2295.68,-0.008816545054185942,0.024295859468224643
2024-09-17,2341.8,0.02008990800111521,0.025305958031733772
2024-09-18,2374.75,0.014070373217183185,0.024644099015628272
2024-09-19,2465.21,0.038092430782187714,0.028156785229460676
2024-09-20,2561.4,0.03901898824035288,0.029206345967484913
2024-09-21,2612.4,0.0199109861794331,0.028568399881318183
2024-09-22,2581.0,-0.01201959883631909,0.020224837059478834
2024-09-23,2646.97,0.025559860519178468,0.017210532623358754
2024-09-24,2653.2,0.002353634533069915,0.01856338222882529
2024-09-25,2579.95,-0.027608171264887682,0.025481530754087305
2024-09-26,2632.26,0.020275586736177242,0.02325521933942106
2024-09-27,2694.43,0.023618487535425725,0.02058831375743151
